Sheet_nb;Date;Time;Species;Nb_feeding;Nb_active;Nb_inactive;Nb_OOS;Total_ind;Enclosure_status;Zoo_status;Lockdown
11;14/04/2020;14:31;Komodo dragon;0;1;0;0;1;Closed;Closed;1
16;18/04/2020;11:50;Komodo dragon;0;0;1;0;1;Closed;Closed;1
25;24/04/2020;12:12;Galapagos tortoise - adult;1;1;1;0;3;Closed;Closed;1
25;24/04/2020;12:15;Komodo dragon;0;1;0;0;1;Closed;Closed;1
23;24/04/2020;14:29;Komodo dragon;0;0;0;1;1;Closed;Closed;1
34;16/05/2020;12:46;Komodo dragon;0;0;1;0;1;Closed;Closed;1
3;10/06/2020;10:52;Galapagos tortoise - adult;3;0;0;0;3;Closed;Closed;1
6;10/06/2020;14:32;Galapagos tortoise - adult;1;0;2;0;3;Closed;Closed;1
1;10/06/2020;16:56;Galapagos tortoise - adult;0;0;3;0;3;Closed;Closed;1
3;10/06/2020;10:28;Komodo dragon;0;0;1;0;1;Closed;Closed;1
6;10/06/2020;12:12;Komodo dragon;0;0;1;0;1;Closed;Closed;1
6;10/06/2020;14:32;Komodo dragon;0;0;1;0;1;Closed;Closed;1
5;10/06/2020;15:32;Komodo dragon;0;0;1;0;1;Closed;Closed;1
1;10/06/2020;16:26;Komodo dragon;0;0;1;0;1;Closed;Closed;1
2;10/06/2020;17:27;Komodo dragon;0;0;1;0;1;Closed;Closed;1
53;11/06/2020;14:32;Galapagos tortoise - adult;0;1;2;0;3;Closed;Closed;1
53;11/06/2020;15:23;Galapagos tortoise - adult;0;2;1;0;3;Closed;Closed;1
54;11/06/2020;16:33;Galapagos tortoise - adult;3;0;0;0;3;Closed;Closed;1
49;11/06/2020;10:06;Komodo dragon;0;0;1;0;1;Closed;Closed;1
50;11/06/2020;11:16;Komodo dragon;0;0;1;0;1;Closed;Closed;1
53;11/06/2020;14:37;Komodo dragon;0;0;1;0;1;Closed;Closed;1
53;11/06/2020;15:14;Komodo dragon;0;0;1;0;1;Closed;Closed;1
54;11/06/2020;16:30;Komodo dragon;0;0;1;0;1;Closed;Closed;1
55;11/06/2020;17:15;Komodo dragon;0;0;1;0;1;Closed;Closed;1
55;12/06/2020;10:20;Galapagos tortoise - adult;0;0;3;0;3;Closed;Closed;1
121;12/06/2020;11:43;Galapagos tortoise - adult;2;0;1;0;3;Closed;Closed;1
55;12/06/2020;10:18;Komodo dragon;0;0;1;0;1;Closed;Closed;1
121;12/06/2020;11:48;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
122;12/06/2020;14:16;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
124;12/06/2020;16:31;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
125;12/06/2020;17:46;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
211;13/06/2020;10:00;Beaded lizard;0;0;2;1;3;Closed;Closed;1
211;13/06/2020;13:45;Beaded lizard;0;0;2;1;3;Closed;Closed;1
211;13/06/2020;15:20;Beaded lizard;0;0;2;1;3;Closed;Closed;1
211;13/06/2020;17:30;Beaded lizard;0;0;3;0;3;Closed;Closed;1
214;13/06/2020;10:00;Blue tree monitor ;0;0;1;0;1;Closed;Closed;1
214;13/06/2020;13:44;Blue tree monitor ;0;1;0;0;1;Closed;Closed;1
215;13/06/2020;15:40;Blue tree monitor ;0;0;1;0;1;Closed;Closed;1
215;13/06/2020;17:37;Blue tree monitor ;0;0;1;0;1;Closed;Closed;1
214;13/06/2020;10:12;Chinese crocodile lizard;0;0;1;1;2;Closed;Closed;1
214;13/06/2020;13:55;Chinese crocodile lizard;0;0;2;0;2;Closed;Closed;1
215;13/06/2020;15:40;Chinese crocodile lizard;0;0;2;0;2;Closed;Closed;1
215;13/06/2020;17:37;Chinese crocodile lizard;0;0;2;0;2;Closed;Closed;1
212;13/06/2020;10:39;Egyptian tortoise (REPT);0;0;0;1;1;Closed;Closed;1
212;13/06/2020;13:59;Egyptian tortoise (REPT);0;0;0;1;1;Closed;Closed;1
213;13/06/2020;18:00;Egyptian tortoise (REPT);0;0;0;1;1;Closed;Closed;1
126;13/06/2020;10:06;Galapagos tortoise - adult;0;0;3;0;3;Closed;Closed;1
129;13/06/2020;11:42;Galapagos tortoise - adult;1;0;2;0;3;Closed;Closed;1
130;13/06/2020;12:49;Galapagos tortoise - adult;1;1;0;1;3;Closed;Closed;1
131;13/06/2020;14:18;Galapagos tortoise - adult;0;1;2;0;3;Closed;Closed;1
214;13/06/2020;10:07;Gidgee skink;0;0;4;5;9;Closed;Closed;1
214;13/06/2020;13:50;Gidgee skink;0;0;1;8;9;Closed;Closed;1
215;13/06/2020;15:40;Gidgee skink;0;0;4;5;9;Closed;Closed;1
215;13/06/2020;17:37;Gidgee skink;0;0;6;3;9;Closed;Closed;1
212;13/06/2020;10:30;Jungle carpet python;0;0;2;0;2;Closed;Closed;1
212;13/06/2020;13:57;Jungle carpet python;0;0;2;0;2;Closed;Closed;1
212;13/06/2020;15:07;Jungle carpet python;0;0;2;0;2;Closed;Closed;1
213;13/06/2020;18:00;Jungle carpet python;0;0;2;0;2;Closed;Closed;1
211;13/06/2020;10:02;King cobra;0;0;1;0;1;Closed;Closed;1
211;13/06/2020;13:47;King cobra;0;0;1;0;1;Closed;Closed;1
211;13/06/2020;15:22;King cobra;0;0;1;0;1;Closed;Closed;1
211;13/06/2020;17:32;King cobra;0;0;0;1;1;Closed;Closed;1
125;13/06/2020;09:19;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
129;13/06/2020;11:31;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
130;13/06/2020;12:44;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
131;13/06/2020;14:14;Komodo Dragon;0;0;1;0;1;Closed;Closed;1
212;13/06/2020;10:39;Milksnake;0;0;0;1;1;Closed;Closed;1
212;13/06/2020;14:00;Milksnake;0;0;0;1;1;Closed;Closed;1
213;13/06/2020;18:00;Milksnake;0;1;0;0;1;Closed;Closed;1
212;13/06/2020;10:35;Mindanao water monitor (Varanus cumingi);0;0;1;0;1;Closed;Closed;1
212;13/06/2020;13:54;Mindanao water monitor (Varanus cumingi);0;0;0;1;1;Closed;Closed;1
212;13/06/2020;15:04;Mindanao water monitor (Varanus cumingi);0;0;1;0;1;Closed;Closed;1
213;13/06/2020;18:00;Mindanao water monitor (Varanus cumingi);0;0;0;1;1;Closed;Closed;1
211;13/06/2020;10:01;Reticulated python;0;1;0;0;1;Closed;Closed;1
211;13/06/2020;13:46;Reticulated python;0;0;1;0;1;Closed;Closed;1
211;13/06/2020;15:21;Reticulated python;0;0;1;0;1;Closed;Closed;1
211;13/06/2020;17:31;Reticulated python;0;0;1;0;1;Closed;Closed;1
214;13/06/2020;10:11;Snake-neck turtle (WEST) ;0;0;1;0;1;Closed;Closed;1
214;13/06/2020;13:54;Snake-neck turtle (WEST) ;0;0;1;0;1;Closed;Closed;1
